Tür,İlaç,Ruhsat Sahibi,İthal/Yerli,İmal,Menşei,İthalatçı,İhracatçı,Takdim,Etken Madde,Grup,Uygulama,Türler,Açıklama
,,,,,,,,,,,,,
İlaç,%30 DEKSTRO-FLEKS,Eczacıbaşı Baxter Hastane Ürünleri San. Ve Tic.a. Ş.,Yerli,Eczacıbaşı Baxter Hastane Ürünleri San. Ve Tic.a. Ş.,-,-,-,500 ml ve 1000 ml Medifleks torbalarda satışa sunulmuştur.,100 ml ürün içinde ;30 g dekstroz monohidrat,vit.-min.-aminoasit vb.,perfüzyonluk,"At, Keçi (Süt), Koyun (Besi), Köpek, Sığır(Süt), Keçi (Besi), Kedi, Koyun (Süt), Sığır(Besi), manda,malak ve domuzlarda","dana,düve,buzağı,toklu,oğlak ve kuzularda"
İlaç,%5 DEXTRO-FLEXS,Eczacıbaşı Baxter Hastane Ürünleri San. Ve Tic.a. Ş.,Yerli,Bayer Türk Kimya San. Ltd. Şti.,-,-,-,500 ml ve 1000 ml Medifleks torbalarda satışa sunulmuştur.,"100 ml ürün içinde ;5 g dekstroz monohidrat, 0,9 g sodyum klorür",vit.-min.-aminoasit vb.,perfüzyonluk,"At, Koyun (Besi), Sığır(Süt), Kedi, Sığır(Besi), Keçi (Besi), Keçi (Süt), Koyun (Süt), Köpek, manda,malak ve domuzlarda","dana,düve,buzağı,toklu,oğlak ve kuzularda"
İlaç,%5 DEXTRO-FLEXS,Eczacıbaşı Baxter Hastane Ürünleri San. Ve Tic.a. Ş.,Yerli,Bayer Türk Kimya San. Ltd. Şti.,-,-,-,500 ml ve 1000 ml Medifleks torbalarda satışa sunulmuştur.,"100 ml ürün içinde ;5 g dekstroz monohidrat, 0,9 g sodyum klorür",vit.-min.-aminoasit vb.,perfüzyonluk,"At, Koyun (Besi), Sığır(Süt), Kedi, Sığır(Besi), Keçi (Besi), Keçi (Süt), Koyun (Süt), Köpek, manda,malak ve domuzlarda","dana,düve,buzağı,toklu,oğlak ve kuzularda"
Aşı,9R Vac,Güneşli Aşı -ilaç İthalat İhracat Gıda Üretim San. Ve Tic. A.Ş,İthal,Komipharm International Co. Ltd.,Komipharm International Co. Ltd.,Güneşli Aşı -ilaç İthalat İhracat Gıda Üretim San. Ve Tic. A.Ş,Komipharm International Co. Ltd.,1000 Doz,ml ürün içinde ;. Salmonella gallinarum 9R,,enjeksiyonluk,"Tavuk, yumurtacı tavuklar",
İlaç,AB VAR C,Biohayat İlaç San. Ve Tic. Ltd. Şti.,İthal,Laboratorio BALDAN,Laboratorio BALDAN,Biohayat İlaç San. Ve Tic. Ltd. Şti.,Laboratorio BALDAN,Karton kutularda 10 adet tablet içeren polietilen torbalarda satışa sunulmuştur.,1 adet tablet ürün içinde ;400 mg kaumafos,ektoparaziter,kovan içi,Arı,
Aşı,Aborvac R CS,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,50 doz ve 100 doz,ml ürün içinde ;. Brucella melitensis Rev 1,,göz,"Keçi, Koyun",
Aşı,Aborvac R Lamb,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"20, 50, 100 ve 200 Doz","ml ürün içinde ;1000000000/3000000000 Brucella melitensis Rev 1, 6.25 mg Enzymatic digest of Casein (Casilon), 12,5 mg Sukroz, 2,5 mg Sodyum glutamate",,enjeksiyonluk,"Keçi, Koyun",3-6 aylı dişi-erkek kuzu ve oğlaklara uygulanır.
Aşı,Aborvac R Lamb,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"20, 50, 100 ve 200 Doz","ml ürün içinde ;1000000000/3000000000 Brucella melitensis Rev 1, 6.25 mg Enzymatic digest of Casein (Casilon), 12,5 mg Sukroz, 2,5 mg Sodyum glutamate",,enjeksiyonluk,"Keçi, Koyun",3-6 aylı dişi-erkek kuzu ve oğlaklara uygulanır.
Aşı,Aborvac R Lamb,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"20, 50, 100 ve 200 Doz","ml ürün içinde ;1000000000/3000000000 Brucella melitensis Rev 1, 6.25 mg Enzymatic digest of Casein (Casilon), 12,5 mg Sukroz, 2,5 mg Sodyum glutamate",,enjeksiyonluk,"Keçi, Koyun",3-6 aylı dişi-erkek kuzu ve oğlaklara uygulanır.
Aşı,Aborvac R Lamb,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"20, 50, 100 ve 200 Doz","ml ürün içinde ;1000000000/3000000000 Brucella melitensis Rev 1, 6.25 mg Enzymatic digest of Casein (Casilon), 12,5 mg Sukroz, 2,5 mg Sodyum glutamate",,enjeksiyonluk,"Keçi, Koyun",3-6 aylı dişi-erkek kuzu ve oğlaklara uygulanır.
Aşı,Aborvac R Sheep,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"20,50,100 ve 200 doz","ml ürün içinde ;100000-200000 Brucella melitensis Rev 1, 12.5 mg Sukroz, 6.25mg Enzymatic digest of Casein (Casilon), 2.5 mg Sodyum glutamate",,enjeksiyonluk,"Keçi, Koyun",BAKANLIĞIMIZCA HASTALIK ÇIKIŞI YAPILAN YERLERDE/SÜRÜLERDE UYGULANABİLİR. 8 aylıktan büyük dişi koyun ve keçilerde kullanılır. Kuzu ve oğlaklar ile gebe hayvanlara uygulanmaz.
Aşı,Aborvac R Sheep,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"20,50,100 ve 200 doz","ml ürün içinde ;100000-200000 Brucella melitensis Rev 1, 12.5 mg Sukroz, 6.25mg Enzymatic digest of Casein (Casilon), 2.5 mg Sodyum glutamate",,enjeksiyonluk,"Keçi, Koyun",BAKANLIĞIMIZCA HASTALIK ÇIKIŞI YAPILAN YERLERDE/SÜRÜLERDE UYGULANABİLİR. 8 aylıktan büyük dişi koyun ve keçilerde kullanılır. Kuzu ve oğlaklar ile gebe hayvanlara uygulanmaz.
